Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C9",0603,4,100n,
"C4, C5",0805,2,2.2uF,
C6,0603,1,C_Small,
"C7, C8",0603,2,10p,
D1,D_MiniMELF,1,D_Zener,
"D2, D3, D4",D_SOD-123,3,D_Schottky,
D5,0603,1,LED,
"Q1, Q2",SOT-23,2,MMBT3904,
"R1, R2, R3",0603,3,470,
"R10, R11, R6, R7",0603,4,10k,
"R4, R5",0603,2,5.1k,
"R8, R9",0603,2,0,
"SW1, SW2, SW3",SW_Kailh_Choc_V1V2_1.00u,3,SW_Push,
U1,SM-8_L3.0-W2.8-P0.65-LS4.0-BL,1,SN74LVC2G32DCTR,C2862085
U2,SOT-353-5_L2.0-W1.6-P0.65-LS2.1-BL,1,74LVC1G126GW,C52140429
U3,WIRELM-SMD_ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1-N8,C5366877
U4,CONN-TH_XD-XHD-2-2A,1,XD-XHD-2*2A,C17700790
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,SGM2212-3.3XKC3G/TR_C3294699,C3294699
U6,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CH340G,
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
USBC2,USB-C_SMD-TYPE-C-31-M-12_1,1,C165948,
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12MHz,
