Designator,Mid X,Mid Y,Rotation,Layer
C1,93.7375,-107.2,0.0,top
C2,100.0,-106.6375,270.0,top
C3,67.0,-99.8625,90.0,top
C4,65.5,-125.4625,90.0,top
C5,53.0,-125.5,90.0,top
C6,86.36,-133.7575,270.0,top
C7,98.3625,-122.5,180.0,top
C8,89.5,-123.1375,90.0,top
C9,69.4,-102.4625,90.0,top
D1,99.8,-114.2,270.0,top
D2,104.8,-92.0,180.0,top
D3,77.25,-133.65,270.0,top
D4,80.6,-133.65,270.0,top
D5,63.4,-113.675,90.0,top
H1,122.4,-93.4,0.0,top
H2,122.6,-146.4,0.0,top
H3,53.5,-93.5,0.0,top
H4,53.5,-146.6,0.0,top
Q1,85.5,-126.4375,270.0,top
Q2,76.05,-126.5625,270.0,top
R1,92.0,-92.2875,90.0,top
R10,67.0,-104.9125,90.0,top
R11,63.4,-109.9125,270.0,top
R2,58.2875,-142.2,0.0,top
R3,78.3825,-140.97,180.0,top
R4,90.5275,-138.43,180.0,top
R5,99.5125,-138.4,0.0,top
R6,82.6,-129.2,270.0,top
R7,72.0,-129.4125,90.0,top
R8,83.0,-121.9125,90.0,top
R9,76.0,-121.9125,90.0,top
SW1,111.5,-103.125,0.0,top
SW2,111.5,-120.525,0.0,top
SW3,111.5,-137.725,0.0,top
U1,96.5,-103.78,90.0,top
U2,96.7,-109.6,90.0,top
U3,80.75,-105.78,0.0,top
U4,97.45,-95.85,180.0,top
U5,59.5,-125.5,90.0,top
U6,93.06,-130.83,0.0,top
USBC1,68.5,-144.9725,0.0,top
USBC2,92.0,-144.9725,0.0,top
Y1,93.545,-123.255,0.0,top
